"competicion","lon","lat","pop_positiva","pop_negativa","pop_neutra","tamano","recuento","año","porc_positiva","porc_negativa","porc_neutra"
"Autódromo Hermanos Rodríguez",-99.0907,19.4042,1.40982932346288,-1.22782258064516,0,0.182006742817722,239742,2021,6.62090080169516,8.01980462330338,9.87658816561137
"Autódromo José Carlos Pace",-46.6997,-23.7036,1.4224161817678,-1.25558624152649,0,0.166829940241315,449380,2021,3.53221772219502,4.278525969113,5.26911077484534
"Circuit of the Americas",-97.6411,30.1328,1.440253617298,-1.19178082191781,0,0.248472795380192,349320,2021,4.54399404557426,5.50407649146914,6.77840661857323
"Circuit Park Zandvoort",4.54092,52.3888,1.42582417582418,-1.18850380388842,0,0.237320371935757,347928,2021,4.56217378308156,5.52609735347543,6.80552585592421
"Hungaroring",19.2486,47.5789,1.40188251113539,-1.27384780278671,0,0.12803470834868,610880,2021,2.59839575694081,3.14740047145102,3.87610168936616
"Jeddah Corniche Circuit",39.1044,21.6319,1.36709260135668,-1.31568211488251,0,0.0514104864741742,880821,2021,1.80207783420241,2.18283169906258,2.68821133919377
"Losail International Circuit",51.4542,25.49,1.43769100169779,-1.26106657371907,0,0.176624427978727,351200,2021,4.51966970387244,5.47461275626424,6.74212129840547
"Yas Marina Circuit",54.6031,24.4672,1.48013988706366,-1.28917136474843,0,0.190968522315224,1687212,2021,0.940787524033731,1.1395627816777,1.40339980986385
